term,tf,idf,tf_idf
hernanulloa,927,0.24385529841253162,226.0538616284168
cpccs,511,0.8394392737746823,428.95346889886264
voto,286,1.4198170531585343,406.06767720334085
candidato,225,1.6597084617739668,373.4344038991425
ciudadano,147,2.0853762771996505,306.55031274834863
hacer,143,2.1129642337184795,302.1538854217426
poder,127,2.2316217775197953,283.415965745014
hernar,126,2.239526957026909,282.18039658539055
ecuador,118,2.305124239512722,272.00466026250115
ulloa,116,2.322218672872022,269.37736605315456
votar,115,2.3308767356151368,268.0508245957407
cnegobec,114,2.3396104155838913,266.7155873765636
mejor,111,2.3662786626660526,262.65693155593186
casillero,109,2.384460981749243,259.90624701066747
nulo,108,2.393677636854167,258.51718478025003
consejero,88,2.5984720495001805,228.6655403560159
usted,85,2.6331576074880703,223.81839663648597
deber,78,2.719100037288795,212.089802908526
conocer,75,2.7583207504420764,206.87405628315574
carlosverareal,72,2.7991427449623316,201.53827763728788
